Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50.0009685933616
US National,Season onset,Bin,week,40,41,1.73086030711117e-05
US National,Season onset,Bin,week,41,42,1.121125426197e-05
US National,Season onset,Bin,week,42,43,5.40893845972238e-06
US National,Season onset,Bin,week,43,44,2.55695272641422e-06
US National,Season onset,Bin,week,44,45,4.72052811030317e-06
US National,Season onset,Bin,week,45,46,1.39648956596468e-05
US National,Season onset,Bin,week,46,47,2.38976735584098e-05
US National,Season onset,Bin,week,47,48,3.88460125743698e-05
US National,Season onset,Bin,week,48,49,6.38254738247241e-05
US National,Season onset,Bin,week,49,50,8.69363926980834e-05
US National,Season onset,Bin,week,50,51,0.999146961232734
US National,Season onset,Bin,week,51,52,0.000133551607787327
US National,Season onset,Bin,week,52,53,0.000123913862895459
US National,Season onset,Bin,week,1,2,8.05440108820478e-05
US National,Season onset,Bin,week,2,3,4.27797859996225e-05
US National,Season onset,Bin,week,3,4,3.57973381697991e-05
US National,Season onset,Bin,week,4,5,3.56006494985364e-05
US National,Season onset,Bin,week,5,6,3.51089278203798e-05
US National,Season onset,Bin,week,6,7,2.68480036273493e-05
US National,Season onset,Bin,week,7,8,2.13407208319956e-05
US National,Season onset,Bin,week,8,9,1.58334380366418e-05
US National,Season onset,Bin,week,9,10,1.42599286665408e-05
US National,Season onset,Bin,week,10,11,1.19980089470206e-05
US National,Season onset,Bin,week,11,12,4.42549510340922e-06
US National,Season onset,Bin,week,12,13,1.37682069883842e-06
US National,Season onset,Bin,week,13,14,1.96688671262632e-07
US National,Season onset,Bin,week,14,15,9.83443356313157e-08
US National,Season onset,Bin,week,15,16,9.83443356313157e-08
US National,Season onset,Bin,week,16,17,9.83443356313157e-08
US National,Season onset,Bin,week,17,18,9.83443356313157e-08
US National,Season onset,Bin,week,18,19,9.83443356313157e-08
US National,Season onset,Bin,week,19,20,9.83443356313157e-08
US National,Season onset,Bin,week,20,21,9.83443356313157e-08
US National,Season onset,Bin,week,none,none,9.83443356313157e-08
US National,Season peak week,Point,week,NA,NA,5.99969593128098
US National,Season peak week,Bin,week,40,41,1.71185767220998e-06
US National,Season peak week,Bin,week,41,42,2.13982209026248e-06
US National,Season peak week,Bin,week,42,43,2.78176871734122e-06
US National,Season peak week,Bin,week,43,44,2.53721762131122e-06
US National,Season peak week,Bin,week,44,45,1.77299544621748e-06
US National,Season peak week,Bin,week,45,46,1.34503102816499e-06
US National,Season peak week,Bin,week,46,47,1.65071989820248e-06
US National,Season peak week,Bin,week,47,48,2.17039097726623e-06
US National,Season peak week,Bin,week,48,49,4.58533305056246e-06
US National,Season peak week,Bin,week,49,50,8.00904839498242e-06
US National,Season peak week,Bin,week,50,51,1.14327637394024e-05
US National,Season peak week,Bin,week,51,52,1.48870479708261e-05
US National,Season peak week,Bin,week,52,53,1.79745055582048e-05
US National,Season peak week,Bin,week,1,2,1.85858832982798e-05
US National,Season peak week,Bin,week,2,3,1.86470210722873e-05
US National,Season peak week,Bin,week,3,4,2.0267172083486e-05
US National,Season peak week,Bin,week,4,5,2.02977409704898e-05
US National,Season peak week,Bin,week,5,6,2.27738208177935e-05
US National,Season peak week,Bin,week,6,7,0.999720844923882
US National,Season peak week,Bin,week,7,8,2.48219362470448e-05
US National,Season peak week,Bin,week,8,9,2.35991807668948e-05
US National,Season peak week,Bin,week,9,10,1.83107633152461e-05
US National,Season peak week,Bin,week,10,11,1.32668969596274e-05
US National,Season peak week,Bin,week,11,12,9.78204384119991e-06
US National,Season peak week,Bin,week,12,13,7.18368844588117e-06
US National,Season peak week,Bin,week,13,14,4.34078195453246e-06
US National,Season peak week,Bin,week,14,15,2.32323541228498e-06
US National,Season peak week,Bin,week,15,16,1.22275548014999e-06
US National,Season peak week,Bin,week,16,17,5.50239966067493e-07
US National,Season peak week,Bin,week,17,18,6.11377740074993e-08
US National,Season peak week,Bin,week,18,19,3.05688870037496e-08
US National,Season peak week,Bin,week,19,20,6.11377740074993e-08
US National,Season peak week,Bin,week,20,21,3.05688870037496e-08
US National,Season peak percentage,Point,percent,NA,NA,5.0997967009178
US National,Season peak percentage,Bin,percent,0,0.1,5.01675753122917e-08
