Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,51
US National,Season onset,Bin,week,40,41,0.0151376612821294
US National,Season onset,Bin,week,41,42,0.0135121406075384
US National,Season onset,Bin,week,42,43,0.0040638016864777
US National,Season onset,Bin,week,43,44,0.00243828101188662
US National,Season onset,Bin,week,44,45,0.00619729757187849
US National,Season onset,Bin,week,45,46,0.015950421619425
US National,Season onset,Bin,week,46,47,0.0241796200345423
US National,Season onset,Bin,week,47,48,0.0428731077923397
US National,Season onset,Bin,week,48,49,0.0646144468149954
US National,Season onset,Bin,week,49,50,0.0958041247587118
US National,Season onset,Bin,week,50,51,0.111856141420299
US National,Season onset,Bin,week,51,52,0.140302753225643
US National,Season onset,Bin,week,52,53,0.123844356395408
US National,Season onset,Bin,week,1,2,0.0754851163263233
US National,Season onset,Bin,week,2,3,0.047749669816113
US National,Season onset,Bin,week,3,4,0.033627958955603
US National,Season onset,Bin,week,4,5,0.0402316366961292
US National,Season onset,Bin,week,5,6,0.0384029259372143
US National,Season onset,Bin,week,6,7,0.0303769176064208
US National,Season onset,Bin,week,7,8,0.019506248095093
US National,Season onset,Bin,week,8,9,0.0192014629686071
US National,Season onset,Bin,week,9,10,0.0149344711978055
US National,Season onset,Bin,week,10,11,0.0135121406075384
US National,Season onset,Bin,week,11,12,0.0033526363913441
US National,Season onset,Bin,week,12,13,0.00142233059026719
US National,Season onset,Bin,week,13,14,0.000609570252971655
US National,Season onset,Bin,week,14,15,0.000101595042161942
US National,Season onset,Bin,week,15,16,0.000101595042161942
US National,Season onset,Bin,week,16,17,0.000101595042161942
US National,Season onset,Bin,week,17,18,0.000101595042161942
US National,Season onset,Bin,week,18,19,0.000101595042161942
US National,Season onset,Bin,week,19,20,0.000101595042161942
US National,Season onset,Bin,week,20,21,0.000101595042161942
US National,Season onset,Bin,week,none,none,0.000101595042161942
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0.00814315874132904
US National,Season peak week,Bin,week,41,42,0.00794209309339499
US National,Season peak week,Bin,week,42,43,0.00965115110083442
US National,Season peak week,Bin,week,43,44,0.00924901980496632
US National,Season peak week,Bin,week,44,45,0.00593143661405449
US National,Season peak week,Bin,week,45,46,0.00573037096612044
US National,Season peak week,Bin,week,46,47,0.00603196943802151
US National,Season peak week,Bin,week,47,48,0.00764049462149392
US National,Season peak week,Bin,week,48,49,0.0111591434603398
US National,Season peak week,Bin,week,49,50,0.0257364029355585
US National,Season peak week,Bin,week,50,51,0.0386046044033377
US National,Season peak week,Bin,week,51,52,0.0527797325826883
US National,Season peak week,Bin,week,52,53,0.059615964612446
US National,Season peak week,Bin,week,1,2,0.0591133004926108
US National,Season peak week,Bin,week,2,3,0.0593143661405449
US National,Season peak week,Bin,week,3,4,0.06353674474716
US National,Season peak week,Bin,week,4,5,0.0689655172413793
US National,Season peak week,Bin,week,5,6,0.07570121644717
US National,Season peak week,Bin,week,6,7,0.0850507690761034
US National,Season peak week,Bin,week,7,8,0.0818337187091585
US National,Season peak week,Bin,week,8,9,0.0759022820951041
US National,Season peak week,Bin,week,9,10,0.0589122348446768
US National,Season peak week,Bin,week,10,11,0.043731778425656
US National,Season peak week,Bin,week,11,12,0.0298582487182065
US National,Season peak week,Bin,week,12,13,0.0216145571529104
US National,Season peak week,Bin,week,13,14,0.0143761938272846
US National,Season peak week,Bin,week,14,15,0.00623303508595557
US National,Season peak week,Bin,week,15,16,0.00432291143058209
US National,Season peak week,Bin,week,16,17,0.0020106564793405
US National,Season peak week,Bin,week,17,18,0.000502664119835126
US National,Season peak week,Bin,week,18,19,0.000603196943802151
US National,Season peak week,Bin,week,19,20,0.000100532823967025
US National,Season peak week,Bin,week,20,21,0.000100532823967025
US National,Season peak percentage,Point,percent,NA,NA,4.7
US National,Season peak percentage,Bin,percent,0,0.1,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.1,0.2,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.2,0.3,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.3,0.4,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.4,0.5,0.00118448326917382
US National,Season peak percentage,Bin,percent,0.5,0.6,0.00562629552857566
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0126344882045208
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0144112131082815
US National,Season peak percentage,Bin,percent,0.8,0.9,0.00809396900602112
